item_sku_id,newyear,springfestival,tombsweepingfestival,labourday,dragonboatfestival,midautumnfestival,nationalday,h1111mark,h618mark,h1212mark,day_of_week,free_gift_flag,ghost_offer_flag,dq_and_jq_pay_flag,jq_pay_flag,dq_pay_flag,full_minus_offer_flag,suit_offer_flag,sku_offer_flag,non_promo_flag,sale_qtty,after_prefr_amount,before_prefr_amount,synthetic_before_prefr_amount,participation_rate_full_minus_and_suit_offer,participation_rate_dq_and_jq_pay,sku_offer_discount_rate,full_minus_offer_discount_rate,suit_offer_discount_rate,ghost_offer_discount_rate,dq_and_jq_pay_discount_rate,jq_pay_discount_rate,dq_pay_discount_rate,free_gift_discount_rate,out_of_stock_flag,week_of_year_fourier_sin_1,week_of_year_fourier_cos_1,week_of_year_fourier_sin_2,week_of_year_fourier_cos_2,week_of_year_fourier_sin_3,week_of_year_fourier_cos_3,day_of_week_fourier_sin_1,day_of_week_fourier_cos_1,day_of_week_fourier_sin_2,day_of_week_fourier_cos_2,day_of_week_fourier_sin_3,day_of_week_fourier_cos_3,sku_status_cd,dt
2138027,0,0,0,0,0,0,0,0,0,0,4,0,0,1,FALSE,TRUE,1,0,0,0,38,893,1862,1102,0.763157895,0.263157895,0,0.248513674,0,0,0.065517241,0,0.065517241,0,0,0.234886046,0.972022914,0.456629237,0.889657091,0.652822118,0.757511242,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-01-14
2138027,0,0,0,0,0,0,0,0,0,0,5,0,0,0,FALSE,FALSE,1,0,0,0,17,371,833,493,0.941176471,0,0,0.262931034,0,0,0,0,0,0,0,0.234886046,0.972022914,0.456629237,0.889657091,0.652822118,0.757511242,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-01-15
2138027,0,0,0,0,0,0,0,0,0,0,6,0,0,1,FALSE,TRUE,1,0,0,0,7,155,343,203,0.857142857,0.142857143,0,0.275862069,0,0,0.137931034,0,0.137931034,0,0,0.234886046,0.972022914,0.456629237,0.889657091,0.652822118,0.757511242,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-01-16
2138027,0,0,0,0,0,0,0,0,0,0,7,0,0,1,FALSE,TRUE,1,0,0,0,4,86,196,116,1,0.5,0,0.25862069,0,0,0.051724138,0,0.051724138,0,0,0.234886046,0.972022914,0.456629237,0.889657091,0.652822118,0.757511242,4.14E-13,1,8.27E-13,1,1.24E-12,1,1,2016-01-17
2138027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,FALSE,1,0,0,0,19,424,931,551,0.947368421,0,0,0.243295019,0,0,0,0,0,0,0,0.348201635,0.937419661,0.652822118,0.757511242,0.875734942,0.482792203,0.781831482,0.623489802,0.974927912,-0.222520934,0.433883739,-0.900968868,1,2016-01-18
2138027,0,0,0,0,0,0,0,0,0,0,2,0,0,1,FALSE,TRUE,1,0,0,0,59,1562,2891,1711,0.847457627,0.033898305,0,0.102758621,0,0,0.051724138,0,0.051724138,0,0,0.348201635,0.937419661,0.652822118,0.757511242,0.875734942,0.482792203,0.974927912,-0.222520934,-0.433883739,-0.900968868,-0.781831482,0.623489802,1,2016-01-19
2138027,0,0,0,0,0,0,0,0,0,0,3,0,0,1,FALSE,TRUE,1,0,0,0,35,812,1715,1015,0.742857143,0.142857143,0,0.269230769,0,0,0.062068966,0,0.062068966,0,0,0.348201635,0.937419661,0.652822118,0.757511242,0.875734942,0.482792203,0.433883739,-0.900968868,-0.781831482,0.623489802,0.974927912,-0.222520934,1,2016-01-20
2138027,0,0,0,0,0,0,0,0,0,0,4,0,0,1,FALSE,TRUE,1,0,0,0,29,687,1421,841,0.689655172,0.137931034,0,0.265517241,0,0,0.094827586,0,0.094827586,0,0,0.348201635,0.937419661,0.652822118,0.757511242,0.875734942,0.482792203,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-01-21
2138027,0,0,0,0,0,0,0,0,0,0,5,0,0,1,FALSE,TRUE,1,0,0,0,47,1167,2303,1363,0.617021277,0.14893617,0,0.233055886,0,0,0.073891626,0,0.073891626,0,0,0.348201635,0.937419661,0.652822118,0.757511242,0.875734942,0.482792203,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-01-22
2138027,0,0,0,0,0,0,0,0,0,0,6,0,0,1,FALSE,TRUE,1,0,0,0,33,789,1617,957,0.666666667,0.03030303,0,0.263322884,0,0,0.137931034,0,0.137931034,0,0,0.348201635,0.937419661,0.652822118,0.757511242,0.875734942,0.482792203,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-01-23
